PRODUTO;QUANTIDADE;DATA;FORNECEDOR;SITUAÇÃO
;;18/02/2025;;
FONTE 600W ATX 600FSE DUEX;3;12/02/2025;TAKETEC;GERADO CREDITO
FONTE 500W ATX  500FSE DUEX;2;12/02/2025;TAKETEC;GERADO CREDITO
PLACA MAE DUEX DXH61ST;4;18/02/2025;PREXX;ENVIADO
PLACA MAE  M2 DUEX H110ST;1;18/02/2025;PREXX;ENVIADO
MONITOR 20 VX200C VXPRO;3;09/01/2025;PREXX;ENVIADO
MONITOR 19 VX190X VXPRO;3;09/01/2025;PREXX;ENVIADO
SSD 480GB DUEX DXS480F;1;09/01/2025;PREXX;ENVIADO
PLACA MAE  M2 DUEX H110ST;1;09/01/2025;PREXX;ENVIADO
MONITOR 17.1 VX170Z VXPRO;1;09/01/2025;PREXX;ENVIADO
MONITOR 23  VXPRO VX230X;5;09/01/2025;PREXX;ENVIADO
SSD 120GB DUEX DXS120D;1;27/02/2025;PREXX;ENVIADO
SSD 480GB DUEX DXS480F;1;27/02/2025;PREXX;ENVIADO
SSD 240GB DUEX DXS240D;2;27/02/2025;PREXX;ENVIADO
MONITOR 20 VXPRO VX200C ;2;27/02/2025;PREXX;ENVIADO
PLACA MAE  GOLDENTEC GT-H81;2;13/03/2025;GOLDENTEC;EM ANDAMENTO
PLACA MAE  GOLDENTEC GT-G41;2;13/03/2025;GOLDENTEC;EM ANDAMENTO
PLACA MAE  GOLDENTEC GT-H61;1;13/03/2025;GOLDENTEC;EM ANDAMENTO
PLACA MAE DUEX DXH61ST;2;21/03/2025;PREXX;EM ANDAMENTO
PLACA MAE 1155 DDR3 DUEX DXMBH61G;1;21/03/2025;PREXX;EM ANDAMENTO
MONITOR 20 VXPRO VX200C;1;21/03/2025;PREXX;EM ANDAMENTO
 MONITOR 23 VX230X VXPRO;1;21/03/2025;PREXX;EM ANDAMENTO
M2 240GB SATA DX240HB DUEX;1;21/03/2025;PREXX;EM ANDAMENTO
SSD 120GB DUEX DXS120D;1;21/03/2025;PREXX;EM ANDAMENTO
FONTE 230W ATX VX 230SE VXPRO;4;21/03/2025;PREXX;EM ANDAMENTO
CADEIRA GAMER PCTOP ELITE SE1010 - AZUL;2;20/03/2025;ALL NATIONS;EM ANDAMENTO
ROTEADOR MERCUSYS MR30G;2;06/03/2025;ALL NATIONS;ENVIADO
Monitor 22WR 75 Brazil PC;4;14/01/2025;SENSUS;ENVIADO
SSD PRODRIVE 250;3;26/03/2025;TAKETEC;EM ANDAMENTO
FONTE 500W ATX  500FSE DUEX;3;02/04/2025;TAKETEC;EM ANDAMENTO
PLACA MAE  M2 DUEX H110ST;1;02/04/2025;PREXX;EM ANDAMENTO
SSD 480GB DUEX DXS480F;2;02/04/2025;PREXX;EM ANDAMENTO
SSD 240GB DUEX DXS240D;1;02/04/2025;PREXX;EM ANDAMENTO
SSD NVME 512 DUEX;1;02/04/2025;PREXX;EM ANDAMENTO
ESTABILIZADOR BIVOLT ES-500VA  BEM LIADO;2;24/02/2025;COLETECK;ENVIADO
ESTABILIZADOR BIVOLT ES-300VA  BEM LIGADO;1;24/02/2025;COLETECK;ENVIADO
MOUSE GAMER C3TECH MG-120;1;24/02/2025;COLETECK;ENVIADO
WEBCAM 720P C3TECH WB-71;1;24/02/2025;COLETECK;ENVIADO
